Transaction_Amount,Transaction_Time,Previous_Transactions,Location_Risk,Fraud
375.16557872851513,18,7,0.3501048042845637,0
950.7635921035062,7,6,0.2243668276923797,0
732.2619478695937,6,33,0.35284411837350005,0
599.0598257128396,15,43,0.6453308128295218,1
156.8626218019941,18,13,0.5467871248282837,0
156.83852581586643,5,15,0.743589406521226,0
59.02552855603126,19,42,0.3390741484817763,0
866.3099696291603,20,8,0.4520285734646854,0
601.5138967314656,10,9,0.1019683689629235,0
708.3645052182494,4,16,0.07305864603278145,0
21.563909801506643,15,11,0.46225524284410047,1
969.9399423098323,6,5,0.30159660744592354,0
832.6101981596213,4,18,0.6128005721361308,0
213.12677156759787,10,42,0.043002165444571916,0
182.6431422398935,14,40,0.12176637759956543,0
184.22110534358038,2,28,0.8651908111063952,0
304.9380007165782,4,5,0.5663116215191045,0
525.2316752006057,22,24,0.7120545336912272,0
432.51307362347364,20,23,0.8419721187072957,0
291.93791105784385,4,24,0.4638343429500522,0
612.2410418276571,8,15,0.7610603839674761,0
140.3543667913898,14,15,0.5245855790735243,0
292.85250388668294,2,5,0.22274877027370388,0
366.995481450398,5,36,0.3376561688009395,0
456.6139142328189,16,20,0.49035044105566084,0
785.3907854316205,20,3,0.31688555217227077,0
200.47410837620137,7,33,0.33552769134989835,0
514.720203975198,20,27,0.3373928312487664,0
592.8221542931805,10,37,0.12283997885710418,0
47.40396230727773,5,40,0.08464260721225136,0
607.9373070495369,7,27,0.046496039691304336,0
171.35359956360423,9,16,0.11095626103433676,0
65.98654139229424,23,13,0.343707092135618,0
948.93665171608,2,6,0.5938718057830571,0
965.6664010414848,22,21,0.18814692720940895,0
808.5889507683447,13,0,0.888008846002638,0
305.3091554041973,22,28,0.8083824312394494,1
98.5744418923775,13,30,0.5205271128091636,0
684.5487934856448,9,29,0.7242098308133599,1
440.7123412458617,11,14,0.36632852469875843,0
122.91619660993405,5,17,0.0367777927330899,0
495.6817332011589,11,34,0.9043328475325398,0
35.35413259410318,22,49,0.127793488257822,0
909.4110816767032,13,29,0.9479373463796514,0
259.5212016184169,1,33,0.57188258826611,0
662.859762069628,8,41,0.30556306102142994,0
312.3993650133215,9,10,0.49552462331184466,0
520.547953156633,16,26,0.5016298089230942,0
547.1635690639364,16,23,0.023287079442581904,0
185.6696010700015,2,34,0.35545985188413864,0
969.615043136794,18,38,0.7398657995429174,0
775.3576905377535,0,7,0.510069188950708,0
939.5594426226249,11,17,0.2442301170095842,0
894.9325230772212,6,12,0.335109860036944,0
598.3020788322741,3,44,0.8630543931159491,0
921.9523607880938,9,23,0.5255496701502296,0
89.40400954986758,12,22,0.528352122551236,0
196.78687955672606,1,11,0.96146745905101,1
46.182061621627525,9,48,0.32088139903664337,1
326.00500043250105,20,29,0.47954112510622837,0
389.2886123997925,21,30,0.811713597720834,0
272.077682742122,3,27,0.7589122488870297,0
828.9087716427774,17,21,0.26579942192867256,0
357.39657336689567,4,43,0.15109104760538583,1
281.65357517769337,18,27,0.7007045761873683,0
543.1533870750902,1,12,0.25765617680719477,0
141.78330074978788,11,24,0.9226758285242411,0
802.3947837732857,16,43,0.1292476939892261,0
75.47609303609106,9,45,0.31831520013477654,0
986.9000496639168,1,6,0.05478724692491377,0
772.4725245273607,5,44,0.7033053068633781,0
199.51696585263824,7,5,0.8912626489153983,0
6.516595006478797,18,23,0.635874527331007,0
815.6459670263794,10,18,0.9377530155114836,0
707.1504865037695,11,18,0.12850397850120965,0
729.2781608729463,8,35,0.08773392726269891,0
771.4990763392598,1,8,0.8384127311673708,0
74.97060708235627,7,47,0.8555111753865077,0
359.10726281572835,10,35,0.8310395271071281,0
116.75319046560459,20,37,0.7989649025337456,0
863.240322449718,3,39,0.3622283639386602,0
623.6748287007304,9,28,0.21746208359138774,0
331.5671268277965,20,23,0.92880401999779,0
64.49479193573761,19,47,0.30700018284833397,0
311.67133939394654,15,4,0.3984076821640322,0
325.8581387047203,7,41,0.6995589594516332,0
729.876572159726,3,44,0.2933560799939876,0
637.9199138838579,9,25,0.8191302215610012,0
887.3255298337502,11,13,0.07003462363178126,0
472.74271023678733,13,38,0.7911826673889345,0
120.4746516923634,15,28,0.6018513226178042,0
713.531542435772,21,5,0.5729936441135929,0
761.0242635682805,17,6,0.4583770391386607,0
561.7159203719267,20,36,0.2770455962834224,0
771.1962127746065,21,17,0.46407028543123663,0
494.30180076802634,20,22,0.4500285120186873,0
523.2100965526121,11,43,0.58375418878307,0
428.1134773401911,17,37,0.28157428585553024,0
26.393707617351094,6,0,0.07759558197614902,0
108.78353556631114,19,3,0.14508944663913825,0
32.39775650104752,23,43,0.6991774314615729,1
636.7740008525166,22,46,0.022492329635540487,0
315.04162509525037,6,34,0.85644304464543,0
509.0621204735381,8,22,0.6943973274799133,0
907.6589074521669,0,26,0.7680865413077163,0
250.04293691972606,5,25,0.8359844490934748,0
410.9725401125941,5,7,0.12271044393018116,0
755.7955874045056,21,42,0.8224510909700663,0
229.56936732613084,11,15,0.5046424376590564,0
77.9029299189642,21,40,0.8855238387531971,0
290.4617014608543,11,2,0.8865866010603435,0
162.06006596675041,9,31,0.02417804375417021,0
929.7679546902305,22,4,0.3828652154835389,0
808.3122591848526,5,19,0.5263987958652734,0
633.770352753913,16,13,0.678360089782902,0
871.58912959753,18,31,0.28618624668413395,0
803.8684048222153,17,25,0.2521422606646523,0
187.3834888271498,5,46,0.3812657190890473,0
892.6664394914878,23,5,0.5009386917498945,0
539.802899673735,18,35,0.9511462314054133,0
807.6327150088985,9,39,0.7621084666974375,0
896.1952086235698,23,4,0.4293211669377053,0
318.68547149689203,7,12,0.054366178440183766,0
110.94187260314908,20,31,0.16852059214375936,0
228.70722737939974,23,15,0.45592442431941704,0
427.68068083763006,5,0,0.8138259000987043,0
818.1967511565706,20,12,0.38069553567734393,0
860.869852673087,6,10,0.5384966507450597,0
7.945178400659513,23,7,0.8918048860851021,0
511.2365552749882,0,24,0.9137962594266289,0
417.9935921456302,17,39,0.21577499644268938,0
222.8857026602595,23,31,0.04359492179259439,0
120.74550196634912,19,23,0.30541053097151494,0
338.27755623222436,11,27,0.6958023148257801,0
942.9667942086066,15,13,0.9511122009762665,0
323.87972908873445,9,44,0.07703199998411392,0
519.2718311216228,9,2,0.028483810549271515,0
703.3159399362827,13,35,0.8841472129857219,0
364.2659727769147,19,26,0.7481452691031412,0
971.8103006382397,9,19,0.9922485791555753,0
962.4848476471691,9,46,0.39679288146565317,0
252.53051352953878,10,14,0.41605090513676934,0
497.7512573864931,22,26,0.1723118372974496,0
301.5774315069529,1,44,0.11584715259733847,1
285.55565388309014,19,40,0.578718010590238,0
37.85006040717826,7,27,0.36428500129483254,0
609.9547696459169,22,24,0.08031644794524506,0
503.17634420563263,6,41,0.8869870695233198,0
52.42727249873936,7,43,0.19835646824933306,1
279.36781777237485,0,45,0.7485843470035328,0
908.3576200806871,20,32,0.28222859611811113,0
240.32232877630545,1,45,0.8129048307527991,0
145.74997721913186,17,13,0.11839684142765405,0
489.96330751728544,14,7,0.7560716102217615,0
